ID,Event Name,Start,End,Location,Description,Organizer,Event URL,City
7769,Film Screening and Panel: How to Blow Up a Pipeline,2023-08-16 18:30:00,2023-08-16 21:00:00,"Angelika Film Center & Cafe, 18 West Houston Street, New York, NY, 10012, United States","The Climate Museum joins forces with Lapham’s Quarterly and the Center for Constitutional Rights to present a special screening of the 2023 eco-thriller film How to Blow Up a Pipeline, based on the nonfiction book of the same name by Andreas Malm. In a post-screening conversation moderated by Miranda Massie, director and founder of the Climate Museum, panelists Vince Warren (Director, Center for Constitutional Rights) and Professor Mia White (Department of Environmental Studies, The New School) will join filmmakers Daniel Goldhaber and Dan Garber to discuss the portrayal of radical social movements throughout history and the strategies and stakes of environmental activism today. (Depending on the outcome of the SAG-AFTRA strike, additional panelists are also possible.) How to Blow Up a Pipeline follows a group of eight individuals who come together to sabotage an oil pipeline in West Texas, taking direct action against an industry that has wreaked irreversible damage on their lives and communities. In a time when record-breaking heat waves, forest fires, and myriad climate catastrophes manifest the consequences of combustion of fossil fuels, this film presents at once a searing critique and a propulsive, character-driven story for our time.",The Climate Museum,https://climatemuseum.org/2023-events/howtoblowupapipeline,NYC
7770,Strategies for climate communication in early-career professional...,2023-08-14 14:00:00,2023-08-14 15:00:00, Online," Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.", Columbia Climate School,https://www.climate.columbia.edu/events/strategies-climate-communication-early-career-professional,NYC
7771,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,2023-08-17 14:00:00,2023-08-17 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-31,NYC
7772,W.S. Jardetzky Lecture,2023-09-08 15:30:00,2023-09-08 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964, Monell Auditorium","The Jardetzky lecture in geophysics honors the late Wenceslas S. Jardetzky, a renowned researcher and educator whose flourishing scientific career in Europe was halted by World War II and revived after he emigrated to the United States. From 1949 until his death in 1962, he was a research associate at Lamont-Doherty, where he collaborated with Frank Press, former president of the National Academy of Sciences, and Maurice Ewing, Lamont-Doherty's founder, on a well-known and widely used scientific book, Elastic Waves in Layered Media.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ws-jardetzky-lecture,NYC
7773,"Mindfulness, citizenship, & engagement",2023-09-11 14:00:00,2023-09-11 15:00:00, Online," Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda.", Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University,https://www.climate.columbia.edu/events/mindfulness-citizenship-engagement,NYC
7774,LDEO Earth Science Colloquium,2023-09-15 15:30:00,2023-09-15 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-1,NYC
7775,INNOV-EAT Expedition,2023-09-21 09:00:00,2023-09-21 15:00:00,"The Forum at Columbia University, 601 W. 125th St., New York, NY 10027","Join us through the far-reaches of food systems innovation. In this event, we will embark on a trailblazing adventure, exploring ground breaking innovations and strategies to transform global food systems. Prepare to challenge the status quo and address the root causes of food system issues. Innovation comes with its share of failures. We’ll celebrate the lessons learned from these missteps and embrace them as stepping stones on our path to success. Through engaging keynote presentations and panel discussions, we’ll openly share and learn from the failures that have paved the way for innovation. The event will bring together experts from diverse backgrounds, uniting stakeholders across the food system, including youth. We aim to cultivate a community that champions systemic innovation and technology. By fostering collaboration, we strive to inspire action towards a resilient, inclusive, and sustainable food future. To showcase the latest technological innovations that can be used to transform food systems, and to demonstrate how these technologies can be leveraged to promote more sustainable practices. To celebrate and learn from failures as valuable stepping stones towards success, and that have paved the way for innovations. To facilitate dialogue and collaboration among diverse stakeholders across the food system and to cultivate a community that champions systemic innovation and technology. To share best practices, research findings, and case studies that highlight successful examples of systemic and technological innovation in food systems, and to showcase the positive impact that these innovations can have on the environment, society, and the economy. To inspire and empower youth, individuals and organizations to embrace innovation and sustainable food systems",Climate School Events,https://www.climate.columbia.edu/events/innov-eat-expedition,NYC
7776,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,2023-09-21 14:00:00,2023-09-21 15:00:00,Online,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.",IRI Seminar,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-32,NYC
7777,LDEO Earth Science Colloquium,2023-09-22 15:30:00,2023-09-22 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964 Monell Auditorium","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-2,NYC
7778,LDEO Earth Science Colloquium,2023-09-29 15:30:00,2023-09-29 16:30:00,"Lamont-Doherty Earth Observatory, 61 Route 9W, Palisades, NY 10964","The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative.",Dr. Einat Lev,https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-3,NYC
