Event Name,Start,End,Location,Description,Organizer,Event URL,Relevance,City,Source CSV
The SocialCode x Tampa: Embracing the AI Evolution.,"September 07, 2023, 05:30 PM","September 07, 2023, 08:00 PM","1646 West Snow Avenue, Tampa, FL 33606","The SocialCode x Tampa: Embracing the AI Evolution.Join us on Thursday, Sep 07, 2023 for an exciting event focused on embracing the AI evolution. Discover the latest trends, insights, and strategies that will shape the future of technology and its impact on society.At this in-person event, you'll have the opportunity to connect with industry experts, thought leaders, and fellow enthusiasts who share a passion for the potential of artificial intelligence. Explore the possibilities, exchange ideas, and gain valuable knowledge through engaging presentations.Whether you're a tech enthusiast, a business professional, or simply curious about the AI revolution, this event is for you. Be part of the conversation and uncover the ways AI is transforming industries, driving innovation, and shaping our world.Secure your spot today and prepare to expand your horizons!THE SPEAKERS:Joey deVilla – Senior Developer at Okta – “Centaurs vs. Minotaurs: the human-AI synergy.”  If you hear an accordion at a programming presentation, chances are that Joey de Villa is the one playing, presenting, or both. He’s a Senior Developer Advocate at Okta, where he specializes in supporting mobile and Python developers. He’s also the editor of Tampa Bay’s tech blog, Global Nerdy, home of the Tampa Bay Tech Events list, and organizes Tampa’s AI and Apple coding meetups. When he’s not programming or talking to programmers, he plays in a band called the Tropical Sons, does daily 10K bike rides around his neighborhood, plays tabletop and video games, and is always looking for interesting new places to hang out.Joey’s talk, “Centaurs vs. Minotaurs,” is a metaphor used in AI circles for two different approaches to human-AI synergy. In the “centaur” relationship (human head/horse body), the human is in charge and the AI follows its orders. Conversely in the “minotaur” relationship (bull head/human body), the AI is making the decisions and the human follows its orders.James Gress – Generative AI Director at Accenture – “Talk Track: exploring the groundbreaking realm of Generative AI.”James is a Generative AI Director for Accenture, bringing over 30 years of software delivery experience, leading global teams to break new ground in Generative AI solutions. James has a strong foundation in AI, DevOps, Architecture, and Modern Engineering practices spanning various projects and across numerous industries, technologies, and software platforms. James’ expertise doesn't end with software architecture and creating custom automation tools, he also takes great pleasure in exploring the groundbreaking fields of the Metaverse and Generative AI during his personal time. This blend of professional accomplishment and personal fascination embodies an undying dedication to the ever-changing landscape of technology.James’ talk, “Talk Track” will involve a captivating exploration into the groundbreaking realm of Generative AI. In this insightful session, James will elucidate how various organizations are harnessing the power of Generative AI to drive innovation in their products and enhance operational efficiency. This session will also explore and demonstrate how we can use multiple technologies across the entire software delivery lifecycle. Witness firsthand how this revolutionary tool is reshaping the coding process by generating code lines and blocks, offering an up-close look at how Generative AI is transforming our workplaces and the potential it holds for the future of technology. Don't miss out on this opportunity to get a glimpse of the technological revolution that's just around the corner!Craig Bosco – Data Scientist at Gale Healthcare – ""From Data to Decisions: harnessing predictive analytics for effective healthcare staffing.""Craig Bosco is a lifelong learner with a passion for math and technology, as well as finding innovative solutions. After working in multiple industries and starting his own business, he’s found a calling with Data Science and has spent the last five years developing his skills to apply programmatic solutions for hosted services and predictive modelling. Telling a story with data is his expertise, and he loves solving difficult problems.Craig will discuss how predictive analytics can play a part in healthcare staffing, the role of AI in automation and operational excellence, and how different types of AI can be used to augment the skills of a limited workforce. In the healthcare world, where resources are always limited, AI can be a multiplying force, filling in gaps where human time may be limited and providing an extra set of eyes where getting the right answer is critical.THE LOCATION:Hyde House Public Studio(Black Box Auditorium),1646 W Snow Ave, Tampa, FL 33606.",https://www.eventbrite.com/o/oscar-technology-36848263833,https://www.eventbrite.com/e/the-socialcode-x-tampa-embracing-the-ai-evolution-tickets-675043883427,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
AIA Columbia Summer Social,"July 27, 2023, 05:30 PM","July 27, 2023, 07:00 PM","520 Greene Street, Columbia, SC 29201","AIA Columbia Summer SocialJoin us for a fun-filled evening at the AIA Columbia Summer Social! This in-person event is the perfect opportunity to connect with fellow architects and designers in the Columbia community. We'll be gathering on Thu Jul 27 2023 at Columbia Craft Brewery Rooftop Bar | 520 Greene Street, Columbia, SC 29201 starting at 5:30 PM.Enjoy delicious food and drinks while mingling with colleagues and friends. Don't miss out on this exciting event featuring Event Sponsor - Pyramid Contracting - who built the newest addition to Columbia Craft Brewery. ",https://www.eventbrite.com/o/aia-columbia-9877028590,https://www.eventbrite.com/e/aia-columbia-summer-social-tickets-667075329267,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
AIA Southwest Wisconsin: Summer Social,"July 26, 2023, 04:30 PM","July 26, 2023, 08:00 PM","333 S. Rosa Road, Madison, WI 53705","Join us for the 2023 Summer Social. This year's celebration will be held on the west side of Madison at the Garner Park Shelter. The social is free to attend, and food and drink will be provided.  While the event is open to all, please RSVP so we are able to get an accurate head count.  ",https://www.eventbrite.com/o/aia-southwest-wisconsin-12789034938,https://www.eventbrite.com/e/aia-southwest-wisconsin-summer-social-tickets-675372907547,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
In-Person Wine & Cheese Pairing,"July 29, 2023, 05:30 PM","July 29, 2023, 07:00 PM","254 Bleecker Street, New York, NY 10014","There’s no better way to learn the ins and outs of wine and cheese pairing than by experiencing exceptional versions of each. A Murray’s instructor will lead this guided tasting of four expertly selected cheeses, encompassing a range of styles, paired with four unique wines. We’ll dive deep into the background of each cheese as you sip and slice your way to a greater understanding of pairing principles. And you’ll be ready to approach the cheese counter or wine shop with newfound confidence. Duration: 1.5 hours Format: guided tasting with a Murray’s expert in our classroom Includes: 4  cheeses, signature accompaniments Beverages: 4  wines  Additional Information In-person classes take place in the classrooms located at our Bleecker Street store. Our classrooms are located upstairs and downstairs at our venue and are therefore not wheelchair accessible. During some of our classes, our content team and/or partners may be filming for social media purposes. Please reach out directly to our education department at education@murrayscheese.com if you’d like more information about whether to expect filming in your specific class. For information on refunds, transferring tickets, and more, please visit our website. https://www.murrayscheese.com/classes-faq",https://www.eventbrite.com/o/beverage-pairing-59238959183,https://www.eventbrite.com/e/in-person-wine-cheese-pairing-tickets-665680697887,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Gala On The Hudson,"August 20, 2023, 06:00 PM","August 20, 2023, 10:00 PM","353 West Street, New York, NY 10014","Gala On The HudsonCome join us for an unforgettable evening at the Gala On The Hudson! Get ready to experience an enchanting night filled with music, dance, and delectable cuisine. This in-person event will take place on Sun Aug 20, 2023 at 353 West Street, New York, NY 10014.Indulge in a delightful fusion of flavors as our talented chefs prepare a mouthwatering array of dishes that will tantalize your taste buds. Dance the night away as live bands and DJs serenade you with an eclectic mix of music, ensuring there's something for everyone.Immerse yourself in the breathtaking views of the Hudson River, creating a picturesque backdrop for this extraordinary event. Whether you're looking to socialize, celebrate a special occasion, or simply enjoy a night out, the Gala On The Hudson promises to be an evening to remember.Don't miss out on this incredible opportunity to make lasting memories. Mark your calendars and get ready for a night of elegance, entertainment, and pure joy at the Gala On The Hudson. We can't wait to welcome you!",https://www.eventbrite.com/o/federation-of-indian-associations-68699281103,https://www.eventbrite.com/e/gala-on-the-hudson-tickets-680044420167,False,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
AI-volution of Culture,"September 06, 2023, 09:00 AM","September 06, 2023, 04:00 PM","242 West 41st Street, New York, NY 10036","AI-volution of CultureUnravel cultural complexity with AI Insights.Generative AI is being described as the next Internet and people are beginning to imagine a world where machines can help us brainstorm ideas and build strategies faster than ever before. The software holds the ability to access the pulse of culture, maximize creativity for many industries and improve the future of work.Join us at The Times Center, New York on September 6, 2023, as we bring together marketers, storytellers, builders, and technologists to understand the fundamentals of AI, discuss the integration of it into their business, and how to use it for good. Attendees will hear from some of industries' best and experience live interaction with our own Anthropologically-informed Culture AI. A limited number of tickets are available to join us in person at The Times Center, New York. Register to experience unique benefits including the opportunity to connect with AI-volution of Culture speakers and other attendees from participating brands at the networking lunch. Attendees will receive a quarterly subscription to the Quilt AI suite of products, autographed books from several of the speakers, deep cultural insight papers, and culturally fun products to take away.Purchase your ticket now, below. 100% of proceeds will be donated to charity. Unable to join us in New York? The summit will also be live-streamed exclusively on our website. Register now.Speakers :B﻿en McKean - Founder and CEO of HungryrootBhaskar Chakravorti - Author, Dean of Global Business at The Fletcher School of Law at Tufts UniversityCécile Beliot-Zind - CEO of Bel GroupD﻿avid McCandless - Founder of Information is Beautiful, Author, Data Journalist, Information DesignerDeepa Mehta - Oscar-Nominated Film Director and Screenwriter Gillian Tett - Chairman of the US Editorial Board, and America Editor-at-Large at Financial TimesI﻿mran Amed - Founder, CEO and Editor-in-Chief of the Business of Fashion (BOF)K﻿alindi Mehta - Global Vice President , Consumer Foresight & Predictive Analytics at The Estée Lauder CompaniesK﻿atherine Anne Paul - The Virginia and William M. Spencer III Curator of Asian Art at the Birmingham Museum of Art, LecturerL﻿izi Hamer - Executive Creative Director of No2ndPlace, Global Executive Creative Director of OctagonLuke Burgis - Author, Speaker, Entrepreneur-In-Residence, Clinical Professor of Business at The Catholic University of AmericaM﻿arc Nicholson - Founder of 1880 Member's Club in SingaporeM﻿aria Garrido - CMO of DeezerO﻿shiya Savur - Chief Brand Officer at Maesa, a Bain Capital CompanyRishad Tobaccowala - Author, Speaker, Teacher, Senior Advisor at Publicis Groupe AgendaAttendees can expect a half-day format filled with exclusive conversations on navigating the next wave of innovation using artificial intelligence. They will also have the opportunity to join Q&A sessions with our speakers, before connecting with them and like-minded attendees during the networking lunch.D﻿iscussion topics will include:AI & the Future of MarketingInsights into FashionInsights into Beauty, Music, Sports, Food and HealthProduct DemonstrationsC﻿ontact UsFor any enquiries, please contact stitch@quilt.ai",https://www.eventbrite.com/o/quiltai-67968209173,https://www.eventbrite.com/e/ai-volution-of-culture-tickets-669202712327,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Make It in Brooklyn Pitch Contest - AI Tech for Good,"August 02, 2023, 06:00 PM","August 02, 2023, 08:00 PM","590 Fulton Street, Brooklyn, NY 11217","Artificial Intelligence (AI) technology is abuzz right now as automated tech systems and machine learning are quickly becoming integrated into everyday life. The Make It in Brooklyn AI Tech for Good Pitch Contest is bringing together a top selection of Brooklyn-based startups who are applying innovative AI technology to serve humankind and the environment. With an emphasis on pre-seed, seed stage, and round A funded startups, a $5,000 prize and in-kind legal services from BLIP at Brooklyn Law School aim to help these companies thrive and take their businesses to the next level.In 2022, AI companies based in NYC raised in total $484 million in venture capital funding (Crains, 2023). This powerful new technology is influencing all types of industries and although there is concern over the long-term effects of AI, we’re also seeing how it can aid humanity in ways never thought possible. As AI continues to evolve, an increasing number of local companies are embracing the immense benefits it can provide, and we’re showcasing the best of them.Get your tickets today to watch 5 startups pitch their innovative AI technologies that are serving humankind and the environment. The finalists and judges are announced below! The finalists are: Azul Bio, Founder: Benjamin Alva Azul Bio creates microbiome-based probiotic treatments, from nature that mitigate human impact on ocean life. Their coral probiotics are a scalable and cost-effective solution to help coral survive ever increasing climate change and environmental degradation. They are leveraging powerful AI and machine learning in their coral probiotic directed evolution process to identify high value bio-products. InterviewMaster Founders: Alhouseny Camara and Roneil Boodie InterviewMaster is an AI-based startup building student interview skills using machine learning alongside support from College Alumni. By partnering with public institutions, this technology will help students prepare for interviews through AI generated practice sessions that draw directly from students’ resumes, personal skillsets, and work experience. The app will also help develop additional professional skills and build networks to get students ready for the workforce.  Libbie Health, Founder: Colette Ellis Libbie Health was formed to address workplace mental health challenges with the goal of improving outcomes and increasing access to culturally competent digital care. They do so with Libbie, an AI mental wellness companion and self-care app that helps users relieve anxiety, track moods, and build sustainable self-care habits and focuses on promoting mental health and wellness for BIPOC women. The company has built an innovative digital health solution that supports users through challenging situations with EFT-Tapping and breathing exercises for just-in-time relief.  Pajama Cats Media, Founder: Homer Quan `Pajama Cats Media transforms children's books by adding an AI-powered reading co-pilot to develop early language skills. This technology can be used by individuals, schools, and organizations to enhance learning, and is especially impactful for children with speech impairments, learning differences, and those who are learning English as a second language. Tilosia LLC, Founder: Dr. Matthew Campisi Tilosia is a group of physicians, engineers, and entrepreneurs poised to transform medical care. Their newest product, Tremcare, is improving care for Parkinson's disease. TremCare is a wearable device that brings 24/7 monitoring, integrated machine-learning driven disease assessments, and personalized management to the point of care, thereby deriving insights for therapy optimization. It provides a solution that combines motor, cognitive, and self-assessment for better treatment decisions. JUDGES Craig Wilson, Managing Director, NYU Tandon Future Labs Etay Zwick, Design Director, NewLab Jimmy Chen, Founder, Propel Martha Morrick – Chief Analytics Officer, NYC Office of Data and Analytics C﻿LICK HERE to learn more about our finalists and judges",https://www.eventbrite.com/o/downtown-brooklyn-partnership-37906379153,https://www.eventbrite.com/e/make-it-in-brooklyn-pitch-contest-ai-tech-for-good-tickets-653198252557,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
Transition-AI: New York,"October 19, 2023, 08:00 AM","October 19, 2023, 06:00 PM","117 West 46th Street, New York, NY 10036","Transition-AI is the leading B2B event for energy practitioners and artificial intelligence experts. The conference series brings together business leaders across the energy sector who are building AI teams, integrating AI into new products, and using AI to streamline operations.Building off its inaugural Transition-AI: Boston event, Post Script Media is reconvening experts to discuss the role of autonomous technologies in the energy transition. The New York event will explore utility and industrial use cases, the role AI can play in furthering renewable project development and asset management, its impact on DER integration and marketplaces, and other emerging applications that will shape and optimize our electricity system.Come be a part of the conversation with top thinkers and business leaders at the forefront of energy and AI.Conference themesDeep dive conversations with leading AI thinkersReal-world uses of AI for renewables development, resource forecasting, financial transactions, and grid optimizationWorkshops and interactive technical discussionsExplorations of how organizations can integrate AI and build AI teamsIndustries representedTop utilitiesProject developers Technology solutions providers Policymakers/Regulators VCs/Investors Educational institutions Professional service providersGovernment and non-profitsStartupsReviews from Transition-AI: Boston""Excellent and engaging conference.""— Partner, Clean Energy Venture Group""Overall, it was fantastic. As an attendee I felt like it was well curated, well thought through, and well facilitated.... It was far from boring or stuffy like other industry conferences I have gone to. So please keep making these happen!""— Service designer, Philips""I really enjoyed the diversity in expertise and background of the speakers and panelists, and found all of the content very engaging and relevant!""— Senior product manager, Uplight""It was filled with enriching discussion with fellow attendees and keen insights from each of the panelists. (Hearing from Liz Cook was an absolute highlight for me personally!)""— Private equity associate",https://www.eventbrite.com/o/post-script-media-64572675663,https://www.eventbrite.com/e/transition-ai-new-york-tickets-673026499377,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
The AI + Finance Summit,"September 08, 2023, 09:00 AM","September 08, 2023, 05:30 PM","515 Madison Avenue, New York, NY 10022","T﻿he AI+Finance Summit is a full day of 10-12 deeply educational and insightful panels and lectures presenting some of the latest thinking and discussions around the intersection of artificial intelligence and finance. Join us as we host luminaries to share insights on how AI is changing finance. Opportunities to network with others will be available.Topics covered include:D﻿eep learning, generative AI and large language models for financial researchU﻿sing AI for portfolio construction and optimizationC﻿hatGPT prompt engineering techniques for financial analysisA﻿nalysis of papers on FinGPT, BloombergGPT and moreTopics & S﻿peakers (adding more talks and panels in the next few days)Understanding FinGPT, X﻿iao-Yang  Liu, Founder, FinGPTU﻿sing Fnberry for Financial Analysis, Prof. Jamiel Sheikh, CEO Scifn (frmly Chainhaus) & FnberryUnlocking the Potential of Large Language Models in the Cloud: Balancing Privacy, Security, and Performance, Peter Kowalchuck, MicrosoftPanel: From Hype to Practice: Navigating the Realities of AI Implementation in Financial ServicesModerator: Rajendra Shroff, Director, Blu AIP﻿anel: Addressing Risks and Challenges of Deploying Models for Large-Scale UseM﻿oderator: Frank Greco, GoogleP﻿anel: Machine learning and GPT in Portfolio Construction and OptimizationM﻿oderator: Irina Kurakin, BarclaysAdditional lectures will be confirmed shortlyT﻿he AI+Finance Summit is hosted by Scifn. For sponsorship or speaking opportunities, please go here.﻿",https://www.eventbrite.com/o/chainhaus-16626399768,https://www.eventbrite.com/e/the-ai-finance-summit-tickets-673917454247,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
AI in Service of Music,"August 20, 2023, 05:00 PM","August 20, 2023, 08:00 PM","303 Saratoga Avenue, Brooklyn, NY 11233","It is rare to witness a new era that could be as momentous as a milestone such as the stone age or the ages that marked our mastery of metals since the dawn of humanity. The era we are living in right now may be one of those times. Just like we replicated the horse's leg in the form of a car and the bird's wing in the form of an airplane, we may have replicated the brain in the form of Artificial Intelligence (AI). This development is affecting nearly every profession.  In this workshop, Dr. Njie / eMalick will lead a discussion on what AI is.  We will explore if we have created a new form of consciousness, with implications negative and positive.  Throughout the night, we will have fun by using generative AI such as Google’s MusicLM to make music.  And learn about the mechanics and implications of the viral AI Drake song.  Neither the conversation nor the music making session require prior knowledge of AI.About the hostDr. eMalick G. Njie worked as a senior scientist in neurogenetics for Nobel Laureate Martin Chalfie and then founded the first medical AI company from Columbia University.  He recently founded his second company, Ecotone, which is building a Large Genome Model to create AI-designed medicines.  Dr. Njie hails from The Gambia, a country in West Africa imbued with rich musical history and internationally recognized modern artists such as the British grime sensation Pa Salieu and traditional Kora instrumentalist Sona Jobarteh.",https://www.eventbrite.com/o/delight-factory-34220509417,https://www.eventbrite.com/e/ai-in-service-of-music-tickets-681166456207,True,NYC,/Users/raiidahmed/PycharmProjects/Event-Extractor-With-GUI/CSV_URL_DATA/AI Governance/AI_Governance_eventbrite_Social AI_NYC.csv
