Event Name,Start,End,Location,Description,Organizer,Event URL,City
The Biggest Latin Summer Yacht Party,"August 13, 2023, 04:00 PM","August 13, 2023, 08:00 PM","353 West Street, New York, NY 10014","SUNDAY, AUGUST 13, 2023 LATIN SUMMER YACHT FEST Get aboard the #1 Cruise on Manhattan waters to celebrate LATINO HERITAGE with the best views of New York City!MAIN STAGE:FRANK ROTH | MEGA JAY | TOONS | MATTMATTIC | LOBOP﻿LAYING BACHATA, MERENGUE, REGGAETON, AND TODAYS HITSYour Cruise Experience Includes:Scenic 4-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your table.VIP Bottle Service & Sections Available Open-Air deck and a climate-controlled cabins;3 levels of music (Outdoor Floor of Music ; Two Indoor Floors of Music)Live DJs playing all styles of Latin Music, Pop, Top 40, Oldies & more.Rain? No problem, there are two large indoor dance floors and indoor sitting areas! Food  and Hookah Available for Purchase.Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed)VIP Ticket Includes Express Line Entry (and access to a VIP area if a VIP area is designated on a certain cruise)Free Street Parking Available around the Pier (it is relatively easy to find parking). Pier 40 has parking garages for an average of $40.00 per vehicle. Pier 40 also serves as a large parking complex with an average rate of $40.00 per vehicle.The dress code is ""trendy"".Event Information:Boards: 4:30 PMDeparts: 5:00 PMReturn: 9:00 PMRain or Shine21 & over with proper IDAll sales are final. Tickets are non-refundable. A limited number of tables are available. Email us for reservations RESERVATIONS@THERESERVEDGROUP.COM | 917-312-6793 ",https://www.eventbrite.com/o/the-reserved-group-8945224301,https://www.eventbrite.com/e/the-biggest-latin-summer-yacht-party-tickets-678659267137,NYC
THE #1 Latin Music Boat Party Yacht Cruise  NYC,"August 11, 2023, 10:00 PM","August 12, 2023, 02:00 AM","353 West, New York, NY 10014","Vamos a bailar! It’s time to move your feet to the hottest beats on the water! Enjoy the best of Latin & Reggaeton music as we set sail around the Statue of Liberty!Unwind from the week and relax on the water while you indulge on breathtaking views of Manhattan on the floating nightclub!While on board, be sure to check out our fully stocked bar! Order drinks straight to your table or at the bar! Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your table.VIP Bottle Service & Sections Available - Call/text Allan (646)-263-4593 and/or email rsvp@iboatnyc.com for the Bottle Services Flyer & Packages.Open-Air deck and a climate-controlled cabins; 3 levels of music (Outdoor Floor of Music ;  Two Indoor Floors of Music)Live DJs playing all styles of Latin Music, Pop, Top 40, Oldies & more.Rain? No problem, there are two large  indoor dance floors and indoor sitting areas! Food Available for Purchase.Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed)VIP Ticket Includes Express Line Entry (and access to a VIP area only if a VIP area is designated on a certain cruise)Free Street Parking Available around the Pier (it is relatively easy to find parking).  Pier 15 has parking garages for an average of $40.00 per vehicle. Pier 40 also serves as a large parking complex with an average rate of $40.00 per vehicle.The dress code is Dress to Impress: No hats | No Tims/boots | No joggers | No sweats | No basketball shortsContact us for more information & special reservations: rsvp@iboatnyc.com or call / text  Allan  (646) 263 -4593Dinner Menu Includes:""Wendy Style"" Fish n' Chips[ Fried Fish, Oven Roasted Potatoes, Sauteed String Beans & Baby Carrots]Wendy’s Famous Jerk Chicken[ Jamaican Jerk Chicken, Pasta Salad, Fried Plantains, Rice & Beans ]Italian Stallion Baked Ziti[ Baked Ziti, Oven Roasted Potatoes, Mixed Green Salad ]The Loaded Mediterranean Falafel Bowl[ Authentic Palestinian Falafels, Sauteed String Beans & Baby Carrots, Rice & Beans,  Mixed Green Salad ]Mix & Match + add more to your plate (at no extra cost) Buffet Style! - Wild Wild West Buffalo Wings- Blast to the Past Chicken Nuggets- All American Mac n Cheese- Deli Pasta Salad- Empanadas (Beef, Chicken, & Cheese)And our Famous Crust Nation Pizza powered by Tabel 87  Food Options may vary based on availablity.Event Information:Boarding: 10:00 PMDeparture: 10:30 PMReturn: 1:30 AMEnds: 2:00 AMRain or Shine21 & over with a physical ID (no photos of ID accepted)Did you enjoy your concert cruise experiences? Learn more about our partner Hudson-360.com, one of NYC's premier audio and visual production companies that offers event production & marketing services, audio and visual solutions and can book any artist for your next event.",https://www.eventbrite.com/o/iboatnyc-12316350145,https://www.eventbrite.com/e/the-1-latin-music-boat-party-yacht-cruise-nyc-tickets-476190246847,NYC
Climate Cafe (8/14),"August 14, 2023, 06:30 PM","August 14, 2023, 08:00 PM","176 9th Avenue, New York, NY 10011","Join us for the NYC Climate Cafe on Mon August 14 at 6:30-8 PM  at 176 9th Avenue, New York, NY 10011. This is an in-person event. Climate Cafes represent an opportunity to discuss difficult emotions that arise out of the climate crisis - everything from anxiety, fear, dread, hopelessness, and anger - in a supportive environment of peers. Climate Cafes are non-clinical, non-directive spaces where attendees can hold space for each others’ emotions without trying to fix other people. At it’s core, it can be meaningful to spend time with others who feel the same way.Participating in Climate Cafes can be cathartic for many who are aware of the ongoing climate emergency. It can break through the “business as usual” of daily life. Especially in local environments, it can be an opportunity to connect with neighbors or friends on ways to deepen our communities and increase our collective resiliency to the coming challenges.This event is open to all and nobody will be turned away for lack of funds. There is a suggested donation of $10 to cover snacks + location fees if you're able to. Any proceeds beyond break-even will be donated to GrowNYC and Earthjustice. Contact us at @climatecafenyc on Instagram with any questions!",https://www.eventbrite.com/o/climate-cafe-nyc-65667042983,https://www.eventbrite.com/e/climate-cafe-814-tickets-689460453777,NYC
Climate Town Town Hall,"August 23, 2023, 07:30 PM","August 23, 2023, 09:00 PM","149 7th Street (Between 2nd and 3rd Ave), Brooklyn, NY 11215","Climate Town will release a brand new video at this show. We are promising that.But what is Climate Town? Rollie Williams and the Climate Town team make comedy videos about the climate crisis for their 482,000 YouTube subscribers. Now, after two years and millions of views, they're bringing that same climate change comedy to the stage, where you can see it the way it has never before been seen: LIVE. And remember: we will release a brand new video at this show. We are promising that.With S﻿pecial Guests:P﻿eter SmithE﻿na Da (Park Slope Arsonist)B﻿en BoultM﻿att Nelsen@climatetown7:00pm Doors / 7:30pm Show$15 GAAges 21+*This event will be mixed seated/standing. Arrive early for best seat selection",https://www.eventbrite.com/o/the-bell-house-17899492469,https://www.eventbrite.com/e/climate-town-town-hall-tickets-673247370007,NYC
"The Nest Climate Campus, Official Event Partner of Climate Week NYC 2023","September 19, 2023, 08:30 AM","September 21, 2023, 05:30 PM","445 11th Avenue, New York, NY 10001","The Nest Climate CampusThe Nest Climate Campus,  home to hundreds of sustainable brands, businesses, individuals, and organizations, provides a unifying destination for climate action during Climate Week NYC.  We aim to accelerate climate solutions through collaboration and community. That’s why The Nest Climate Campus hosts cutting-edge discussions on the Main Stage, partners with leading organizations to bring Co-hosted Events under one green roof at the Javits Center, and bolsters rich networking opportunities through the various community engagement activities.It's all happening at the Javits Center during Climate Week NYC (September 19 - 21, 2023). About The Main StageWith your complimentary ticket, access the brightest minds and most committed organizations of the climate solutions movement! The Nest Climate Campus's Main Stage brings thought-leaders from leading organizations and the climate community together for two full days of education, inspiration, and collaboration. About The Campus Community Engagements & HappeningsConnecting communities is paramount at The Nest Climate Campus. In addition to the Summit Main Stage conference and Co-hosted Meetings & Events, attendees will enjoy extended community engagement activities. Partake in the many opportunities to explore, network, and feast!CLIMATE COLLECTIVEActivations and Networking Spaces Provide an Environment for Connecting with Colleagues and Discovering Climate Solutions. CLIMATE ARTSDesigned to Inspire, Immerse Yourself in the Intersection of Art and Action.GREEN ROOF TOURSThe Javits Center will be offering free tours of its 6.75-acre green roof, one of the largest of its kind in the United States! GARDEN EATERYAdjacent to the Javits' rooftop farm, orchard, and gardens, feast on a plant-based menu with vegan and vegetarian options for breakfast and lunch, and learn something new! Experience the circular story around the Javits food management system – from roof to table, local sourcing, and waste management. SPECIAL APPEARANCESHear from some of the most influential thought-leaders in the New York government and NGOs who are championing legislation and community service.  Please see our health & safety policy before arriving to the event. By registering for The Nest Climate Campus event, you agree to the event organizer's photo & video policy and privacy policy.",https://www.eventbrite.com/o/nxt-events-media-group-33584111599,https://www.eventbrite.com/e/the-nest-climate-campus-official-event-partner-of-climate-week-nyc-2023-tickets-483373441977,NYC
Carbon Dating: Looking for Love in the  Climate Crisis,"August 23, 2023, 06:00 PM","August 23, 2023, 09:00 PM","623 Sackett Street, Brooklyn, NY 11217","It’s time to turn up the heat on the hottest summer on record and melt that permafrost in your heart! If you have a healthy dose of climate dread, a healthy skepticism of “green capitalism,” and are looking for someone to set your world on fire (in a good way), this event is for you. This will be a very chill (no pun intended!) way to meet a partner for the apocalypse, a socialist summer fling, or just make some climate comrades!NOTE: this event is open to all ages, sexualities and genders, however we do skew more towards people in their 20’s-40’s. We have decided to charge a small ticket fee this time around to cover our expenses, but we will not turn anyone away for lack of funds. If the ticket price is financially difficult for you, please email us at adultinganthropocene@gmail.com.",https://www.eventbrite.com/o/adulting-in-the-anthropocene-13147446378,https://www.eventbrite.com/e/carbon-dating-looking-for-love-in-the-climate-crisis-tickets-692403406227,NYC
Thinking About Disability and Climate Change,"September 20, 2023, 01:30 PM","September 20, 2023, 03:00 PM","12 East 41st Street Room 701, New York, NY 10017","Disability must be addressed as an important part of climate policy because it is present in every race, sex, class, sexual preference, age, and everything else.  Disability is the part of an identity that gets left out because no one wants to think it matters and everyone is afraid a disability could happen to them. Inclusion of people with disabilities is a key issue in climate policy.Having a disability is part of the human condition and disabled people form a subset of every community.  Many of us lead interesting, productive, and fulfilling lives. We are problem solvers and have figured out creative ways using technology and other assistive accommodations to manage and sustain our bodies and our minds. People with disabilities are uniquely impacted by climate change due to a lack of resources and because policy makers don’t understand what we need to survive in environmentally compromised circumstances. In this workshop participants will: ·	   Recognize the contributions by people with disabilities who have led the fight and advocated for laws, such as 504 and the Americans with Disabilities Act, that have led to greater accessibility and inclusion throughout society, ·	   Learn about disability oppression and how it plays out in unintended ways.  ·	   Examine the manifestations of disability oppression in the environmental movement and the impact of climate change on this population, ·	   Learn about issues such as extreme heat, lack of effective communication, decrease in clean water, and loss of electricity, that have disastrous effects on the well-being of people with disabilities,·	   Learn about the theory and practice the tools of Sustaining All Life as strategies to overcome the effects of disability oppression in our individual lives and societies. In Sustaining All Life we work to (1) create awareness of the emotional feelings that interfere with fresh thinking about and acting to environmental degradation and (2) undo this damage on an individual basis. We offer mutual support, engaged listening, and a process to help people work against the effects of oppression and other hurts. Using this process allows us to think more clearly about the environmental crisis, build and strengthen alliances, and enjoy working together to set the world right. Together, we can create a just, sustainable future for everyone. ",https://www.eventbrite.co.uk/o/sustaining-all-life-67466229743,https://www.eventbrite.co.uk/e/thinking-about-disability-and-climate-change-tickets-662024110937,NYC
Climate Fresk and Dinner at Eat Offbeat (Chelsea Market)  September Edition,"September 21, 2023, 05:30 PM","September 21, 2023, 09:00 PM","75 9th Avenue, New York, NY 10011","Want to help tackle climate change but don’t have the time to become a climate scientist? Join us for this fun and informative Game + Dinner night that has already been played by >1 M people worldwide!!In just 3 hours, the collaborative Climate Fresk workshop will teach you the fundamental science behind climate change and empower you to take action. The workshop will take place at Eat Offbeat and will include a full dinner featuring the best home cooking from around the world made with love by refugee chefs in NYC.",https://www.eventbrite.com/o/climate-fresk-org-hosted-by-eat-offbeat-53609557293,https://www.eventbrite.com/e/climate-fresk-and-dinner-at-eat-offbeat-chelsea-market-september-edition-tickets-658478746657,NYC
NY Climate Tech Summer Meetup,"August 22, 2023, 06:00 PM","August 22, 2023, 09:00 PM","189 Bowery, New York, NY 10002","Join NY Climate Tech for our summer meetup! As a community organization connecting activists, investors, policymakers, entrepreneurs, artists, academics, jobseekers, and climate leaders, we are dedicated to uniting local communities around deploying climate solutions equitably.This monthly meetup is a casual and accessible way to connect with others in the climate community. Whether you're a seasoned climate expert or just starting to explore your interest in this vital issue, you'll find a welcoming and supportive community at NY Climate Tech.At this event, you'll have the opportunity to network, exchange ideas, and learn more about what's happening in the world of climate tech. So come on out and be a part of building a better future for our city and beyond!The event is free and open to all, but please RSVP to help us know how many people will attend! We can't wait to see you there.W﻿e're so happy to be hosted once again by CitizenM Bowery — they've been so consistent in supporting NY Climate Tech with their amazing rooftop!Want to hear about other climate events in the city? sign up for our events newsletter: https://nyclimatetech.substack.com",https://www.eventbrite.com/o/ny-climate-tech-6049352107,https://www.eventbrite.com/e/ny-climate-tech-summer-meetup-tickets-694021104807,NYC
Investors for Climate Tech - New York,"September 20, 2023, 03:00 PM","September 20, 2023, 08:00 PM","to be announced, New York City, NY 10001","🌍 Exclusively for invited guests, Atlas Capital presents a private Climate Tech Coalition Event that offers an intimate and engaging gathering tailored to family offices, ultra-high net worth individuals, and public sector leaders who are actively engaged in sustainability.🚀 Don't miss the chance to network with active family offices and Ultra High Net Worth Individuals who are passionate about investing in the cutting-edge climate tech industry. This is an exclusive opportunity to foster meaningful relationships and share valuable dealflow.🤵👩‍💼 Past attendees have included industry leaders from PTT ExpresSo, Gulf Energy Development, Bangkok Industrial Gas (BIG), Siam Motors Group (SMG), Siam Cement Group (SCG), BTS Group, Energy Absolute, New World Development, etc.🌱 The roundtables participate in conversations related to a range of sustainability areas, including deep climate technology, storage solutions for electric vehicles, capturing air directly, eco-friendly manufacturing, sustainable agriculture, advancements in ocean-related technologies, water technologies, circular economy practices, and other related topics.🎉 Join us for a night of networking and knowledge sharing in a relaxed and informal setting. The event will take place in New York, a vibrant city at the forefront of sustainable initiatives.📍 L﻿earn more: https://www.theatlascapital.com/",https://www.eventbrite.co.uk/o/the-atlas-capital-66443399703,https://www.eventbrite.co.uk/e/investors-for-climate-tech-new-york-tickets-643580806517,NYC
